artist,artist_id,count,genres
Bhi Bhiman,6OukdlNSOR1SoGNF7v0d2C,2,
Bibio,0qzzGu8qpbXYpzgV52wOFT,3,ambient folk|chillwave|downtempo|electronica|folktronica|indie soul|indietronica
Big Black Delta,2TXpVEw5FbzDh93tLoDm0i,1,shimmer pop
Big Boi,2ht3wxeT69CzyKFChNnNAB,1,atl hip hop|dirty south rap|hip hop|southern hip hop
Big Lenbo,5G1ozOoTwFiVTKjYMj1HAJ,1,
Big Mama Thornton,6bR0cgMtkCVpm0I5yrDNzO,1,acoustic blues|blues|harmonica blues|rhythm and blues|texas blues|traditional blues
Big Red Machine,7gXy60xRcwYujBFoYHnR2O,2,eau claire indie|folktronica|indie folk
Big Scary,4mLYW48jy9Pwv6KpT74Evf,2,australian indie
Big Tree,3QXmRXyVjkukOYMDYuRvl5,1,indie psych-pop
Big Wild,0PxzGnCYBpSuaI49OR94cA,1,electropop|indie poptimism|indietronica|tropical house|vapor soul
Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,5,funk|motown|quiet storm|soul
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,1,electropop|pop
Billy Danze,2N1BZwnczv6rghRsi1ECdd,1,
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,1,album rock|classic rock|folk rock|mellow gold|piano rock|rock|singer-songwriter|soft rock
Billy Preston,0IecGJbdBeYSOVtSPRehh5,2,funk|motown|rock keyboard|soul|southern soul
Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,2,gauze pop
Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,1,electropop|modern alternative rock|modern rock|pop
Black English,6MqPuCO3Ssgfih4X62XcMO,1,
Black Honey,2oVmQT6s29pVIKpqJkyxBS,1,brighton indie|english indie rock|modern alternative rock
Blakroc,193xIEtje6LUhfsFZvGjpM,1,
Blank Range,4TKZQfojfl4wUDO3Mql65t,1,deep new americana
Bob Dylan,74ASZWbe4lXaubB36ztrGX,2,classic rock|country rock|folk|folk rock|rock|roots rock|singer-songwriter
Bobby Charles,3Z8Ab6lOrrOzIekUwxLxI0,1,
Body Language,3xtK8y5UQ3YFudzNct4tsw,1,chillwave|nu disco
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,13,eau claire indie|indie folk|melancholia|slowcore
Bonny Light Horseman,0Qi9Fcmn1DJAoG8Agf5ibb,1,alternative country|indie folk|new americana|stomp and holler
Bosley,4fFbBXQ3LooiXGHkpX2Xle,1,baltimore indie
Brain,6g0Xatzg8vlchoEe21LoeH,1,
Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,1,acoustic pop|folk|indie folk|lilith|modern folk rock|neo mellow|new americana|pop rock|stomp and holler
Brandy,05oH07COxkXKIMt6mIPRee,1,dance pop|hip hop|hip pop|neo soul|pop|pop rap|r&b|urban contemporary
Brasstracks,5sKvgmG84C0bIMWeS2SRPr,1,nyc pop
Brian Owens,7H5TzLxLTOrQuBuVzvll6d,3,
Briston Maroney,7vtSUU3zpHeYJfX6BPNrJd,2,indie pop|modern rock|nashville indie
Brittany Howard,4XquDVA8pkg5Lx91No1JxB,2,modern blues rock|neo soul
Broken Bells,6dgwEwnK0YtDfS9XhRwBTG,23,alternative dance|alternative rock|dance-punk|indie pop|indie rock|indietronica|la indie|modern rock|new rave|rock|shimmer pop
